3_letter_id,sitename,mapcode,latitude,longitude,
ag4,AGO-4,UW,-82.01,96.76,
bat,Alexander Tall Tower!,UW,-79.012,170.723,
atn,Austin,UW,-75.995,-87.47,
bal,Baldrick,UW/UK,-82.774,-13.054,
brp,Bear Peninsula,UW,-74.546,-111.885,
bpt,Bonaparte Point,UW,-64.778,-64.067,
bri,Brianna,UW,-83.888,-134.176,
but,Butler Island,United Kingdom,-72.2062667,-60.16975,
byd,Byrd,UW,-80.011,-119.438,
crl,Carolyn,UW,-79.904,175.946,
car,Clean Air,UW,-90,0,
cbd,Cape Bird,UW,-77.217,166.439,
cdn,Cape Denison,UW/Australia,-67.009,142.664,
cha,Cape Hallett,UW,-72.19,170.16,
csp,Cape Spencer,SPAWAR,-77.967,167.531,
d10,D-10,UW/France,-66.705,139.841,
d47,D-47,UW/France,-67.385,138.729,
d85,D-85,UW/France,-70.426,134.149,
dis,Dismal Island,UW/UK,-68.087,-68.825,
dug,Doug,UW,-82.315,-113.24,
dc2,Dome C II,UW/France,-75.106,123.346,
fuj,Dome F (Fuji),UW/Japan,-77.31,39.7,
e66,E-66,UW,-68.92,134.66,
eln,Elaine,UW,-83.094,174.285,
elz,Elizabeth,UW,-82.607,-137.078,
eml,Emilia,UW,-78.426,173.186,
ema,Emma,UW,-83.997,-175.047,
erc,Eric,UW,-81.489,163.956,
ern,Erin,UW,-84.902,-128.86,
ekn,Evans Knoll,UW,-74.85,-100.404,ekn or evk
fer,Ferrell,UW,-77.803,170.817,fer or fer2
fsb,Fossil Bluff,United Kingdom,-71.3293333,-68.267,
gil,Gill,UW,-79.879,-178.565,
hry,Harry,UW,-83.005,-121.407,
hen,Henry,UW,-89.001,-0.391,
hrb,Herbie Alley,UW,-78.1,166.68,
hug,Hugo Island,UW,-64.96,-65.67,
jnt,Janet,UW,-77.174,-123.39,
jas,JASE2007,UW/Japan,-75.888,25.834,
kth,Kathie,UW,-77.995,-97.268,
kir,Kirkwood Island,UW,-68.34,-69.007,
kms,Kominko-Slade (WAIS),UW,-79.46587378,-112.1062494,
lis,Larsen Ice Shelf,UW,-67.012,-61.55,
lr2,Laurie II,UW,-77.439,170.75,
let,Lettau,UW,-82.475,-174.587,
lbt,Limbert,UW,-75.914,-59.264,
lda,Linda,UW,-78.394,168.446,
lor,Lorne,UW,-78.195,170.028,
mla,Manuela,UW,-74.946,163.687,
mpt,Marble Point,UW,-77.439,163.754,
mp2,Marble Point II,UW,-77.439,163.759,
mgt,Margaret,UW,-79.981,-165.099,
mln,Marilyn,UW,-79.913,165.657,
mrl,Marlene,UW,-83.649,-167.421,
mry,Mary,UW,-79.31,163,
mnb,Minna Bluff,UW,-78.555,166.691,
miz,Mizuho,UW/Japan,-70.7,44.29,
mtf,Mt. Fleming,UW,-77.54,160.28,
mts,Mt. Siple,UW,-73.19,127.05,
mul,Mulock,UW,-78.92,159.01,
nic,Nico,UW,-89,90.024,
pda,PANDA-South,UW/China,-82.325,75.989,
pgn,Pegasus North,UW,-77.952,166.5,
pgs,Pegaus South,UW,-77.99,166.58,
ppt,Penguin Point,UW,-67.61,146.18,
ptm,Port Martin,UW/France,-66.82,141.39,
pos,Possession Island,UW,-71.891,171.21,
rac,Racer Rock,UW,-64.07,-61.6,
rls,Relay Station,UW/Japan,-74.017,43.062,
sab,Sabrina,UW,-84.24662964,-170.0681982,
swt,Schwerdtfeger,UW,-79.816,170.358,
sid,Siple Dome,UW,-81.652,-148.992,
sky,Sky-Blu,United Kingdom,-74.7922667,-71.4898333,
stb,Swithinbank,UW,-81.201,-126.177,
trs,Theresa,UW,-84.602,-115.841,
thi,Thurston Island,UW,-72.532,-97.545,
tom,Tom,UW,-84.429,-171.477,
urg,Uranus Glacier,UW,-71.361,-68.797,
vto,Vito,UW,-78.408,177.829,
wtl,Whitlock,UW,-76.142,168.394,
wti,White Island,UW,-78.076,167.451,whi or wti
wfd,Willie Field,UW,-77.868,166.921,
wdb,Windless Bight,UW,-77.728,167.676,